year,month,value,anomaly,type
1979,01,21.27,-2.61,world
1979,02,19.44,-4.44,world
1979,03,20.95,-2.93,world
1979,04,23.70,-0.18,world
1979,05,25.50,1.62,world
1979,06,27.39,3.51,world
1979,07,27.35,3.47,world
1979,08,26.29,2.41,world
1979,09,25.63,1.75,world
1979,10,27.46,3.58,world
1979,11,27.02,3.14,world
1979,12,23.93,0.05,world
1980,01,19.72,-4.16,world
1980,02,18.86,-5.02,world
1980,03,19.69,-4.19,world
1980,04,21.44,-2.44,world
1980,05,23.54,-0.34,world
1980,06,25.60,1.72,world
1980,07,26.52,2.64,world
1980,08,26.20,2.32,world
1980,09,26.95,3.07,world
1980,10,28.38,4.50,world
1980,11,28.39,4.51,world
1980,12,24.85,0.97,world
1981,01,19.55,-4.33,world
1981,02,18.57,-5.31,world
1981,03,19.31,-4.57,world
1981,04,21.45,-2.43,world
1981,05,24.03,0.15,world
1981,06,26.54,2.66,world
1981,07,27.15,3.27,world
1981,08,26.12,2.24,world
1981,09,26.17,2.29,world
1981,10,27.76,3.88,world
1981,11,27.51,3.63,world
1981,12,25.91,2.03,world
1982,01,20.74,-3.14,world
1982,02,19.21,-4.67,world
1982,03,20.97,-2.91,world
1982,04,23.86,-0.02,world
1982,05,25.34,1.46,world
1982,06,26.73,2.85,world
1982,07,27.07,3.19,world
1982,08,26.44,2.56,world
1982,09,26.10,2.22,world
1982,10,28.04,4.16,world
1982,11,27.92,4.04,world
1982,12,23.72,-0.16,world
1983,01,20.05,-3.83,world
1983,02,19.07,-4.81,world
1983,03,20.45,-3.43,world
1983,04,22.40,-1.48,world
1983,05,23.64,-0.24,world
1983,06,25.74,1.86,world
1983,07,26.90,3.02,world
1983,08,26.01,2.13,world
1983,09,26.41,2.53,world
1983,10,27.82,3.94,world
1983,11,27.93,4.05,world
1983,12,24.81,0.93,world
1984,01,19.78,-4.10,world
1984,02,18.09,-5.79,world
1984,03,19.58,-4.30,world
1984,04,22.19,-1.69,world
1984,05,24.07,0.19,world
1984,06,26.17,2.29,world
1984,07,27.00,3.12,world
1984,08,26.17,2.29,world
1984,09,25.78,1.90,world
